Degree,Course
BA,English
BA,Journalism and Mass Communication
BCA,Computer Applications
BCA,Data Science
BCom,Accounting & Finance
BCom,Commerce
BCom,Computer Applications
BCom,Corporate Secretaryship
BCom,Finance and Taxation
BCom,Information System and Management
BCom,Professional Accounting
BCom,Banking Financial Services & Insurance
BCom,International Accounting & Finance
BEd,Biological Science
BEd,Commerce & Accounting
BEd,Computer Science
BEd,Economics
BEd,English
BEd,Mathematics
BEd,Physical Science
BEd,Social Science
BEd,Tamil
BS,Mathematics
BS,Chemistry
BSc,Hotel & Catering Management
BSc,Biotechnology
BSc,Chemistry
BSc,Computer Science
BSc,Computer Science Specialization in Cyber Security
BSc,Defence and Strategic Studies
BSc,Fashion Designing
BSc,Hotel and Catering Management
BSc,Mathematics
BSc,Physical Education Health Education and Sports
BSc,Psychology
BSc,Statistics
BSc,Visual Communication
Certificate,Basic French
Diploma,Certified Financial Management
Diploma,Counter-Terrorism
Diploma,Financial Management
Diploma,Fire Fighting and Fire Safety
Diploma,First Aid and Safety Management
Diploma,Hotel Management and Catering Science
Diploma,Yoga
MA,English
MA,Journalism and Mass Communication
MCA,Computer Applications with specialization in Generative AI
MCA,Computer Applications
MCom,Accounting & Finance
MCom,Commerce
MSc,Disaster Management
MSc,Applied Data Science
MSc,Biochemistry
MSc,Biotechnology
MSc,Chemistry
MSc,Computer Science
MSc,Information Technology
MSc,Mathematics
MSc,Organic Chemistry
MSc,Visual Communication
MSc,Yoga
MSW,Master of Social Work
PG Diploma,Culinary Arts
PhD,Defence and Strategic Studies
PhD,Economics
PhD,Tamil
PhD,Yoga
PhD,Journalism and Mass Communication
PhD,Visual Communication
PhD,Biochemistry
PhD,Biotechnology
PhD,Computer Applications
PhD,English
PhD,Mathematics
PhD,Psychology
PhD,Social Work
